timestamp,host,method,endpoint,status_code,response_time_ms,bytes_sent
2026-08-10 00:10:03,web-01,PUT,/api/payments,201,1726.7,42442
2026-08-10 00:11:56,web-02,POST,/home,404,1291.3,8586
2026-08-10 00:35:46,web-02,DELETE,/api/users,403,1025.9,8424
2026-08-10 00:50:29,web-02,PUT,/api/payments,502,2783.8,31049
2026-08-10 01:06:41,web-03,DELETE,/api/users,200,613.0,25470
2026-08-10 01:21:30,web-01,GET,/api/products,200,245.2,1365
2026-08-10 01:40:53,web-03,DELETE,/checkout,403,245.7,34731
2026-08-10 01:48:06,web-03,DELETE,/api/products,200,122.7,18607
2026-08-10 02:12:34,api-02,POST,/api/payments,201,230.2,9086
2026-08-10 02:14:55,web-01,POST,/api/login,400,1387.6,37360
2026-08-10 02:34:33,api-02,DELETE,/api/products,500,2054.7,23183
2026-08-10 02:50:48,web-01,POST,/dashboard,403,1378.8,3078
2026-08-10 02:55:20,web-02,GET,/dashboard,400,372.6,39711
2026-08-10 03:06:58,web-01,GET,/api/login,302,1776.0,12966
2026-08-10 03:15:57,web-02,GET,/api/login,200,654.7,12425
2026-08-10 03:24:15,web-01,DELETE,/api/payments,200,812.6,40738
2026-08-10 03:41:00,api-01,POST,/checkout,301,346.5,42018
2026-08-10 04:10:55,api-02,POST,/checkout,200,711.0,5838
2026-08-10 04:30:33,web-02,PUT,/api/products,200,929.7,25311
2026-08-10 04:56:11,web-02,DELETE,/api/login,301,183.6,43389
2026-08-10 05:20:26,web-02,PUT,/home,301,942.9,29413
2026-08-10 05:42:35,web-01,PUT,/api/users,500,1725.6,32750
2026-08-10 06:04:29,api-01,POST,/dashboard,301,234.7,16391
2026-08-10 06:20:51,web-03,PUT,/checkout,201,21.7,49722
2026-08-10 06:24:29,web-01,GET,/dashboard,200,439.2,4025
2026-08-10 06:36:32,web-02,POST,/checkout,302,502.9,32968
2026-08-10 06:38:17,web-01,DELETE,/api/payments,200,1348.9,21939
2026-08-10 08:16:31,web-02,POST,/checkout,200,1393.5,33473
2026-08-10 08:18:37,web-01,PUT,/api/login,401,1498.9,41694
2026-08-10 08:22:17,web-03,POST,/home,400,1455.5,22541
2026-08-10 08:35:09,web-02,PUT,/api/login,500,1366.7,25821
2026-08-10 08:52:11,web-03,DELETE,/dashboard,401,248.4,10150
2026-08-10 08:57:25,web-01,GET,/dashboard,302,1137.0,44429
2026-08-10 09:27:58,web-01,PUT,/api/payments,201,1294.2,44020
2026-08-10 09:54:53,api-02,PUT,/checkout,200,132.7,20599
2026-08-10 10:10:24,web-02,GET,/dashboard,200,1490.9,8313
2026-08-10 10:51:58,api-02,GET,/api/login,500,2334.2,23763
2026-08-10 10:58:49,web-02,PUT,/home,200,1103.3,44934
2026-08-10 11:07:35,web-03,DELETE,/checkout,200,515.9,3582
2026-08-10 12:04:36,api-01,POST,/api/login,404,42.7,513
2026-08-10 12:11:45,api-02,POST,/api/orders,201,1555.1,29938
2026-08-10 12:26:25,api-02,GET,/api/login,201,1629.9,48950
2026-08-10 12:45:15,web-01,DELETE,/dashboard,401,1039.7,26314
2026-08-10 12:48:20,web-03,PUT,/api/products,301,379.7,28147
2026-08-10 12:48:25,web-02,PUT,/api/login,500,1896.4,23524
2026-08-10 14:02:33,api-01,DELETE,/api/payments,200,433.0,27518
2026-08-10 14:30:42,web-03,PUT,/api/orders,200,1666.8,44451
