timestamp,service,environment,region,host,requests,errors,latency_ms,cpu_percent,memory_percent,status_code
2026-08-21T09:00:00Z,api,prod,Chennai,host-01,1270,8,142.4,45.1,65.6,200
2026-08-21T09:00:00Z,web,prod,Mumbai,host-02,1838,58,103.0,37.7,49.4,500
2026-08-21T09:00:00Z,auth,prod,Bangalore,host-03,676,13,98.9,38.6,61.4,404
2026-08-21T09:05:00Z,api,prod,Mumbai,host-03,1328,16,173.0,58.6,56.1,200
2026-08-21T09:05:00Z,web,prod,Bangalore,host-04,1969,51,91.6,31.6,61.4,500
2026-08-21T09:05:00Z,auth,prod,Chennai,host-01,726,6,101.3,53.5,60.8,200
2026-08-21T09:10:00Z,api,prod,Bangalore,host-01,1422,38,151.2,62.4,60.9,500
2026-08-21T09:10:00Z,web,prod,Chennai,host-02,1992,59,101.0,47.8,56.5,500
2026-08-21T09:10:00Z,auth,prod,Mumbai,host-03,787,5,125.7,40.7,54.0,200
2026-08-21T09:15:00Z,api,prod,Chennai,host-03,1359,12,142.5,54.6,60.7,200
2026-08-21T09:15:00Z,web,prod,Mumbai,host-04,1987,23,109.1,49.5,57.4,200
2026-08-21T09:15:00Z,auth,prod,Bangalore,host-01,792,8,122.8,37.8,57.9,200
2026-08-21T09:20:00Z,api,prod,Mumbai,host-01,1459,35,171.9,55.7,67.0,404
2026-08-21T09:20:00Z,web,prod,Bangalore,host-02,2056,25,81.1,35.3,52.5,200
2026-08-21T09:20:00Z,auth,prod,Chennai,host-03,752,25,127.8,41.2,61.5,500
2026-08-21T09:25:00Z,api,prod,Bangalore,host-03,1324,43,148.6,46.1,59.2,500
2026-08-21T09:25:00Z,web,prod,Chennai,host-04,1942,26,99.9,48.6,54.2,200
2026-08-21T09:25:00Z,auth,prod,Mumbai,host-01,726,25,135.3,36.1,53.6,500
2026-08-21T09:30:00Z,api,prod,Chennai,host-01,1212,29,159.9,49.7,56.8,404
2026-08-21T09:30:00Z,web,prod,Mumbai,host-02,1804,62,118.0,50.3,60.2,500
2026-08-21T09:30:00Z,auth,prod,Bangalore,host-03,670,18,121.2,46.4,56.5,500
2026-08-21T09:35:00Z,api,prod,Mumbai,host-03,1218,11,167.8,50.4,68.4,200
2026-08-21T09:35:00Z,web,prod,Bangalore,host-04,1805,24,97.0,32.1,60.9,200
2026-08-21T09:35:00Z,auth,prod,Chennai,host-01,701,10,119.7,48.0,55.0,200
2026-08-21T09:40:00Z,api,prod,Bangalore,host-01,1175,25,159.5,52.2,56.0,404
2026-08-21T09:40:00Z,web,prod,Chennai,host-02,1598,10,111.6,48.2,59.8,200
2026-08-21T09:40:00Z,auth,prod,Mumbai,host-03,620,4,147.9,55.8,54.1,200
2026-08-21T09:45:00Z,api,prod,Chennai,host-03,1101,8,158.9,57.6,57.7,200
2026-08-21T09:45:00Z,web,prod,Mumbai,host-04,1583,34,109.0,48.1,54.5,404
2026-08-21T09:45:00Z,auth,prod,Bangalore,host-01,593,12,122.8,38.6,57.1,404
2026-08-21T09:50:00Z,api,prod,Mumbai,host-01,1180,29,167.9,51.9,57.6,404
2026-08-21T09:50:00Z,web,prod,Bangalore,host-02,1533,24,100.0,33.3,51.9,404
2026-08-21T09:50:00Z,auth,prod,Chennai,host-03,583,14,105.8,54.8,64.2,404
2026-08-21T09:55:00Z,api,prod,Bangalore,host-03,1079,13,155.7,44.9,57.7,200
2026-08-21T09:55:00Z,web,prod,Chennai,host-04,1741,39,96.1,46.0,59.5,404
2026-08-21T09:55:00Z,auth,prod,Mumbai,host-01,614,5,132.7,43.7,59.1,200
